"","Date","Number_of_infections"
"1","2020-01-02",1
"2","2020-02-20",1
"3","2020-02-26",3
"4","2020-02-27",18
"5","2020-02-28",34
"6","2020-02-29",15
"7","2020-03-01",23
"8","2020-03-02",15
"9","2020-03-03",29
"10","2020-03-04",93
"11","2020-03-05",99
"12","2020-03-06",62
"13","2020-03-07",68
"14","2020-03-08",29
"15","2020-03-09",97
"16","2020-03-10",175
"17","2020-03-11",200
"18","2020-03-12",287
"19","2020-03-13",429
"20","2020-03-14",323
"21","2020-03-15",244
"22","2020-03-16",606
"23","2020-03-17",902
"24","2020-03-18",713
"25","2020-03-19",1144
"26","2020-03-20",880
"27","2020-03-21",696
"28","2020-03-22",435
"29","2020-03-23",878
"30","2020-03-24",800
"31","2020-03-25",1037
"32","2020-03-26",1042
"33","2020-03-27",1095
"34","2020-03-28",748
"35","2020-03-29",626
"36","2020-03-30",763
"37","2020-03-31",1061
"38","2020-04-01",1158
"39","2020-04-02",1203
"40","2020-04-03",1066
"41","2020-04-04",688
"42","2020-04-05",495
"43","2020-04-06",870
"44","2020-04-07",916
"45","2020-04-08",1043
"46","2020-04-09",1011
"47","2020-04-10",623
"48","2020-04-11",581
"49","2020-04-12",382
"50","2020-04-13",296
"51","2020-04-14",510
"52","2020-04-15",665
"53","2020-04-16",736
"54","2020-04-17",635
"55","2020-04-18",467
"56","2020-04-19",338
"57","2020-04-20",542
"58","2020-04-21",456
"59","2020-04-22",475
"60","2020-04-23",391
"61","2020-04-24",335
"62","2020-04-25",220
"63","2020-04-26",152
"64","2020-04-27",224
"65","2020-04-28",266
"66","2020-04-29",248
"67","2020-04-30",384
"68","2020-05-01",232
"69","2020-05-02",146
"70","2020-05-03",119
"71","2020-05-04",173
"72","2020-05-05",241
"73","2020-05-06",319
"74","2020-05-07",320
"75","2020-05-08",214
"76","2020-05-09",190
"77","2020-05-10",103
"78","2020-05-11",206
"79","2020-05-12",235
"80","2020-05-13",213
"81","2020-05-14",198
"82","2020-05-15",232
"83","2020-05-16",139
"84","2020-05-17",90
"85","2020-05-18",181
"86","2020-05-19",193
"87","2020-05-20",158
"88","2020-05-21",106
"89","2020-05-22",96
"90","2020-05-23",73
"91","2020-05-24",56
